crash_dim_id,crash_id,crash_type
726,20242100,Multiple
727,20247018,Single
728,20242211,Multiple
729,20245135,Single
730,20245084,Single
731,20241168,Multiple
732,20245127,Single
733,20241162,Multiple
734,20241073,Single
735,20243097,Multiple
736,20248009,Multiple
737,20242182,Multiple
738,20243123,Single
739,20242044,Single
740,20242149,Multiple
741,20243237,Multiple
742,20241120,Multiple
743,20242266,Single
744,20245155,Single
745,20241048,Single
746,20247040,Single
747,20243023,Multiple
748,20243137,Multiple
749,20241200,Single
750,20242106,Single
751,20242151,Multiple
752,20242223,Multiple
753,20241259,Multiple
754,20241264,Single
755,20245123,Single
756,20243086,Multiple
757,20242215,Multiple
758,20245021,Single
759,20246012,Multiple
760,20244068,Multiple
761,20245144,Single
762,20241296,Multiple
763,20241006,Multiple
764,20241258,Single
765,20241290,Single
766,20241056,Single
767,20242014,Single
768,20241251,Single
769,20245042,Single
770,20243076,Multiple
771,20243162,Single
772,20245071,Single
773,20242027,Multiple
774,20243029,Multiple
775,20242179,Multiple
776,20244080,Single
777,20242241,Multiple
778,20244047,Multiple
779,20241041,Multiple
780,20241165,Single
781,20242077,Single
782,20242078,Multiple
783,20245038,Single
784,20242017,Single
785,20247015,Single
786,20245114,Single
787,20243223,Single
788,20245055,Single
789,20241271,Multiple
790,20242217,Multiple
791,20242245,Single
792,20241170,Multiple
793,20242199,Single
794,20241177,Multiple
795,20245113,Single
796,20246015,Single
797,20242165,Multiple
798,20241011,Single
799,20243260,Single
800,20241083,Multiple
801,20246006,Multiple
802,20245129,Single
803,20244058,Single
804,20243218,Multiple
805,20241089,Single
806,20243146,Single
807,20241295,Multiple
808,20243264,Single
809,20241136,Multiple
810,20241281,Multiple
811,20241076,Single
812,20244073,Multiple
813,20242094,Single
814,20245090,Single
815,20241058,Single
816,20241019,Single
817,20241275,Single
818,20243222,Multiple
819,20241065,Multiple
820,20243094,Multiple
821,20243145,Single
822,20241305,Single
823,20242146,Multiple
824,20241231,Single
825,20241145,Multiple
826,20241228,Single
827,20243030,Multiple
828,20243034,Single
829,20245073,Single
830,20242058,Multiple
831,20241085,Single
832,20243091,Multiple
833,20247003,Single
834,20243184,Multiple
835,20242104,Single
836,20248004,Single
837,20242101,Multiple
838,20245153,Single
839,20243195,Single
840,20243055,Multiple
841,20245077,Single
842,20241212,Single
843,20241241,Single
844,20243071,Single
845,20241171,Single
846,20243193,Multiple
847,20244011,Multiple
848,20242225,Multiple
849,20242160,Single
850,20245036,Single
851,20245057,Single
852,20241183,Single
853,20245131,Single
854,20241025,Multiple
855,20241079,Multiple
856,20246010,Single
857,20245094,Single
858,20242235,Multiple
859,20242113,Multiple
860,20242025,Multiple
861,20241148,Single
862,20241262,Single
863,20241172,Single
864,20242192,Multiple
865,20241014,Single
866,20242191,Multiple
867,20243189,Multiple
868,20244033,Single
